obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""571.2504""","=""""","=""8.7e+04""",D,"=""107054.2720""","=""124554.874""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""T1164n""","=""""",
"=""573.9520""","=""573.95195""","=""10""","=""8.7e+05""",D,"=""106087.2598""","=""123505.4896""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""""","=""577.21143""","=""""","=""2.0e+05""",D,"=""106237.5518""","=""123557.4227""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""""",
"=""""","=""577.4008""","=""""","=""1.1e+05""",D,"=""107289.7001""","=""124603.890""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""578.35365""","=""""","=""8.1e+04""",D,"=""106087.2598""","=""123372.9253""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""578.94741""","=""""","=""4.6e+04""",D,"=""106237.5518""","=""123505.4896""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""",,"=""T1218n""","=""""",
"=""""","=""579.0401""","=""""","=""3.4e+04""",D,"=""107289.7001""","=""124554.874""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""580.20798""","=""""","=""4.2e+05""",D,"=""106237.5518""","=""123467.9733""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""583.4263""","=""583.42636""","=""5""","=""5.2e+05""",C,"=""106237.5518""","=""123372.9253""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[3/2]""","=""2""","=""3s2.3p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""2""",,"=""T1218n,T1164n""","=""L2634""",
"=""""","=""584.3779""","=""""","=""3.3e+04""",D,"=""107496.4166""","=""124603.890""","=""3s2.3p5.(2P*<1/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<3/2>).7d""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""""",
"=""586.0310""","=""586.03102""","=""10""","=""2.85e+05""",C,"=""104102.0990""","=""121161.3135""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""",,"=""T1218n,T1164n""","=""L2634""",
"=""588.2624""","=""588.2624""","=""15""","=""1.23e+06""",C,"=""104102.0990""","=""121096.605""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""",,"=""T1218n""","=""L2634""",
"=""588.8584""","=""588.85835""","=""25""","=""1.29e+06""",C,"=""105462.7596""","=""122440.0672""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
"=""591.2085""","=""591.20850""","=""50""","=""1.05e+06""",C,"=""104102.0990""","=""121011.9198""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",,"=""T1218n,T1164n""","=""L2634""",
"=""""","=""591.6598""","=""""","=""5.9e+04""",D,"=""105617.2700""","=""122514.192""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""""",
"=""""","=""592.7125""","=""""","=""3.7e+04""",D+,"=""105462.7596""","=""122329.672""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""3""","=""3s2.3p5.(2P*<3/2>).5d""","=""2[5/2]*""","=""3""",,"=""T1218n""","=""""",
"=""592.8813""","=""592.88125""","=""15""","=""1.1e+06""",D+,"=""105617.2700""","=""122479.3820""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",,"=""T1218n""","=""L2634""",
"=""""","=""594.0855""","=""""","=""1.2e+05""",D,"=""107054.2720""","=""123882.203""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""3s2.3p5.(2P*<1/2>).7s""","=""2[1/2]*""","=""1""",,"=""T1218n""","=""""",
"=""594.2669""","=""594.26682""","=""5""","=""1.8e+05""",D,"=""105617.2700""","=""122440.0672""","=""3s2.3p5.(2P*<3/2>).4p""","=""2[5/2]""","=""2""","=""3s2.3p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""T1218n""","=""L2634""",
